"","EIN","ACCPER","ACTIV1","ACTIV2","ACTIV3","ADDRESS","AFCD","ASS_BOY","ASS_EOY","BOND_BOY","BOND_EOY","CENSUSTRACT","CITY","CLASSCD","COMPENS","COMPENSP","CONT","CONTACT","CONTP","DEDUCTCD","DIREXP","EOSTATUS","EPOSTCARD","EXPS","EXPSP","FILENAME","FIPS","FISYR","FISYRP","FNDNCD","FRCD","FUNDBAL","FUNDFEES","FUNDFEESP","FUNDINC","FUNDINCP","GFTGRNTSRCVD170","GOODS","GRPROF","GRPROFP","GRREC","GRRECMEM","GRRECOTH","GRRECPUB","GRSINC170","GRSINCFNDRSNG","GRSINCGAMING","GRSRCPTSADMISSN509","GRSRCPTSRELATED170","GRSRNTSPRSNL","GRSRNTSREAL","INITFEES","INPRIOR","INPRIORSRC","INVENTG","INVINC","INVINCP","LATITUDE","LESSDIRFNDRSNG","LESSDIRGAMING","LEVEL1","LEVEL2","LEVEL3","LEVEL4","LIAB_BOY","LIAB_EOY","LONGITUDE","MAJGRPB","MANUALLY_FIXED","MRTG_BOY","MRTG_EOY","MSA_NECH","NAICS","NAME","NCCSKEY","NCCSKEY2","NETA_BOY","NETGNLS","NETINC","NETINCFNDRSNG","NETINCGAMING","NETINCP","NETRENT","NETRENTP","NTEE1","NTEECC","NTEEFINAL","NTEEFINAL1","NTEEIRS","NTEESRC","NTMAJ10","NTMAJ12","NTMAJ5","ORGCD","OTHCHGS","OTHINC","OTHINCP","OTHSAL","OTHSALP","OUTNCCS","OUTREAS","PAYTAX","PAYTAXP","PMSA","PROGREV","PROGREVP","Q78A","RANDNUM","REASON","RENTEXP","RENTINC","RETEARN","RETE_BOY","RNTLEXPNSPRSNL","RNTLEXPNSREAL","RNTLINCPRSNL","RNTLINCREAL","ROYALTSINC","RULEDATE","SALEOTHE","SALEOTHG","SALEOTHN","SALEOTHNP","SALESECN","SALESECNP","SALESEXP","SECUR","SEC_NAME","SOIYR","SOURCE","SPEVTG","SRVCSVAL170","SRVCSVAL509","STATE","STYEAR","SUBCD","SUBSECCD","SUBTOTSUPPINC509","TAXPER","TAXPERP","TOTGFTGRNTRCVD509","TOTREV","TOTREV2","TOTREVP","TOTSUPP509","TXEXMPTBNDSPROCEEDS","TXREVNUELEVIED170","TXREVNUELEVIED509","UNSECUREDNOTESEND","VALIDATION_STATE","ZIP","ZIP5","full_address","lat","long"
"1","010563501","12","000","000","000","2373 S JAMAICA ST",3,9273,16038,0,0,8031002803,"AURORA",10,0,0,63772,"RICHARD YACONIS",93292,1,0,"01",0,148318,238426,"010563501_201812_990EZ",8031,2018,2017,15,"010",15404,0,0,0,0,0,0,0,0,163449,NA,NA,0,0,2218,0,551013,0,0,0,0,1,"18eoextract990.xlsx",0,0,0,39.7123,0,0,"PC","O","AR","A",36882,634,-104.9793,"A",NA,0,0,NA,711110,"THE E-PROJECT","010563501201812","0105635012018",-27609,0,15131,2218,0,-11901,0,0,"A","A65","A65","A","A65","IRS","AR","AR","AR",1,27882,0,0,0,0,"IN",NA,0,0,NA,97459,133233,"N",0.295578953188217,"9",0,0,NA,0,0,0,0,0,0,200211,0,0,0,0,0,0,0,NA,NA,20180,"19eoextractez.xlsx",2218,0,0,"CO",20180,"3","3",0,201812,201712,432608,163449,163449,226525,983621,0,0,0,0,0,"80014-1715","80014","2373 S JAMAICA ST,AURORA,CO,80014-1715",39.6735662068966,-104.862210344828
"2","010642365","12","000","000","000","10200 E GIRARD AVENUE",3,65867,70537,0,0,8031006814,"DENVER",20,0,0,0,"RMHIDTA",0,1,0,"01",0,128143,108980,"010642365_201812_990EZ",8031,2018,2017,16,"010",67434,0,0,0,0,0,0,0,0,129710,NA,NA,0,0,0,0,0,0,0,0,0,1,"18eoextractez.xlsx",0,4,4,39.6552,0,0,"PC","O","HE","F",0,3103,-104.8699,"F",NA,0,0,NA,813920,"COLORADO DRUG INVESTIGATORS ASSOCIATION","010642365201812","0106423652018",65867,0,1567,0,0,-725,0,0,"F","F032","F0320","F","B60","BEST","HE","HE","HE",1,0,0,0,0,0,"IN",NA,0,0,NA,129706,108251,"N",0.0175633810552861,"9",0,0,NA,NA,0,0,0,0,0,200403,0,0,0,0,0,0,0,NA,NA,20180,"19eoextractez.xlsx",0,0,0,"CO",20180,"3","3",0,201812,201712,0,129710,129710,108255,0,0,0,0,0,0,"80231-5500","80231","10200 E GIRARD AVENUE,DENVER,CO,80231-5500",39.6557716,-104.867856458072
"3","010726882","12","000","000","000","PO BOX 2918",3,4333,4414,0,0,37175960300,"LOVELAND",10,0,0,0,"DEEANN WILSON",44724,1,0,"01",0,55550,49957,"010726882_201812_990EZ",8069,2018,2017,15,"010",4414,0,0,0,0,259871,0,0,0,55630,NA,NA,0,0,0,0,0,0,0,0,0,1,"18eoextractez.xlsx",0,0,0,35.2457,0,0,"PC","O","RE","X",0,0,-82.7179,"X",NA,0,0,NA,813110,"CAMBODIAN CHRISTIAN ARTS MINISTRY INC","010726882201812","0107268822018",4333,0,80,0,0,-5232,0,0,"X","X20","X20","X","X99","VER","RE","RE","OT",1,0,0,0,0,0,"IN",NA,0,0,NA,55630,0,"N",0.0708704584188584,"7",0,0,NA,NA,0,0,0,0,0,200301,0,0,0,0,0,0,0,NA,NA,20180,"19eoextractez.xlsx",0,0,0,"CO",20180,"3","3",0,201812,201712,0,55630,55630,44725,0,0,0,0,0,0,"80539-2918","80539","PO BOX 2918,LOVELAND,CO,80539-2918",NA,NA
"4","010772839","12","000","000","000","406 41ST AVE",3,36422,105420,0,0,8123001410,"GREELEY",12,0,0,257640,NA,179132,1,0,"01",0,188646,195339,"010772839_201812_990O",8123,2018,2017,15,"010",94420,0,0,0,0,1200870,0,0,0,257644,0,0,NA,105,0,0,0,0,0,0,0,1,"18eoextract990.xlsx",0,4,1,40.4166,0,0,"PC","O","HS","P",11000,11000,-104.7449,"P",NA,0,0,NA,624190,"HOMES OF HOPE INC","010772839201812","0107728392018",25422,0,68998,0,0,-16206,0,0,"P","P45","P45","P","P45","IRS","HU","HU","HU",1,NA,0,0,42000,58000,"IN",NA,0,0,NA,0,0,"N",0.644696107610068,"07",0,0,94420,25422,0,0,0,0,0,200605,0,0,0,0,0,0,0,0,NA,20180,"19eoextract990.xlsx",0,0,0,"CO",20180,"3","3",0,201812,201712,0,257644,257644,179133,0,0,0,0,0,0,"80634-1420","80634","406 41ST AVE,GREELEY,CO,80634-1420",40.4285056617783,-104.745879232817
"5","010831698","06","000","000","000","300 S DAHLIA ST STE 300",3,63317960,87416067,0,0,8031004303,"DENVER",10,716688,493165,42058871,"THE ORGANIZATION",13140320,1,0,"01",0,20963036,14386845,"010831698_201806_990O",8031,2018,2017,15,"010",64170147,12493,32301,0,0,100889912,0,0,0,46257736,0,0,NA,4645097,0,0,0,1954227,0,4784,0,1,"18eoextract990.xlsx",0,1043645,828416,39.7113,0,0,"PC","S","ZD","T",23424033,23245920,-104.9317,"T",NA,1700000,1800000,NA,813211,"JEWISHCOLORADO","010831698201806","0108316982018",39893927,1764371,25098435,0,0,1528119,4784,223660,"T","T31","T31","T","T31","BEST","PU","PU","OT",1,NA,61944,264348,1738525,2159335,"IN",NA,195076,199305,NA,1127856,735165,"N",0.175028604674249,"07",0,4784,0,0,0,0,0,4784,0,200605,196265,0,-196265,0,1960636,723055,0,1960636,NA,20179,"19eoextract990.xlsx",0,0,0,"CO",20179,"3","3",0,201806,201706,0,46061471,46061471,15914964,0,0,0,0,0,0,"80246-8136","80246","300 S DAHLIA ST STE 300,DENVER,CO,80246-8136",NA,NA
"6","010891649","03","000","000","000","C/O 4643 S ULSTER ST 325",3,11772,17339,0,0,8031006810,"DENVER",21,0,0,142190,"MARI TAKEDA",122770,1,0,"01",0,135423,119695,"010891649_201903_990O",8031,2019,2018,11,"010",17339,0,0,0,0,0,0,0,0,142190,0,0,NA,0,0,0,0,0,0,0,0,1,"18eoextract990.xlsx",0,0,0,39.650863,0,0,"PC","O","HS","P",1200,0,-104.894713,"P",NA,0,0,NA,624120,"COLORADO JAPANESE SCHOOL","010891649201903","0108916492019",10572,0,6767,0,0,3075,0,0,"P","P84","P84","P","B20","BEST","HU","HU","HU",1,NA,0,0,88478,75675,"IN",NA,7008,6513,NA,0,0,"N",0.8597695762075,"02",0,0,0,0,0,0,0,0,0,201010,0,0,0,0,0,0,0,0,NA,20189,"19eoextract990.xlsx",0,0,0,"CO",20189,"3","3",0,201903,201803,0,142190,142190,122770,0,0,0,0,0,0,"80237-0000","80237","C/O 4643 S ULSTER ST 325,DENVER,CO,80237-0000",NA,NA
"7","010976638","06","000","000","000","1410 N GRANT ST STE B305",3,434152,436898,0,0,8031002701,"DENVER",10,149232,148576,635260,"KYLIE KAMPBELL",611579,1,0,"01",0,738150,702565,"010976638_201906_990O",8031,2019,2018,16,"010",358862,0,0,0,0,0,0,0,0,735156,0,0,NA,0,0,0,354424,0,0,0,0,1,"18eoextract990.xlsx",0,98,90,39.738598,0,0,"PC","O","PB","S",72294,78036,-104.983519,"S",NA,0,0,NA,813410,"ALLIANCE","010976638201906","0109766382019",361858,0,-2994,0,0,-4735,0,0,"S","S21","S21","S","P99","BEST","PU","PU","OT",1,NA,3580,3740,236907,221165,"IN",NA,28141,27012,NA,96218,82421,"Y",0.655053875069389,"09",0,0,358862,361858,0,0,0,0,0,201109,0,0,0,0,0,0,0,0,NA,20189,"19eoextract990.xlsx",0,0,0,"CO",20189,"3","3",443,201906,201806,3147285,735156,735156,697830,3519394,0,0,0,0,0,"80203-1855","80203","1410 N GRANT ST STE B305,DENVER,CO,80203-1855",NA,NA
"8","020653364","12","000","000","000","117 FAIRWAY VLG",3,779,779,0,0,8101002915,"PUEBLO WEST",20,0,0,0,"EARL POTEET",0,1,0,"01",0,0,256,"020653364_201812_990EZ",8101,2018,2017,16,"020",779,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,1,"18eoextractez.xlsx",0,0,0,38.3226,0,0,"PC","O","HS","J",0,0,-104.7477,"J",NA,0,0,NA,624310,"PROJECT PUEBLO","020653364201812","0206533642018",779,0,0,0,0,-256,0,0,"J","J30","J30","J","J30","IRS","HU","HU","HU",1,0,0,0,0,0,"IN",NA,0,0,NA,0,0,"N",0.936293467391606,"9",0,0,NA,NA,0,0,0,0,0,200305,0,0,0,0,0,0,0,NA,NA,20180,"19eoextractez.xlsx",0,0,0,"CO",20180,"3","3",0,201812,201712,1000,0,0,0,1000,0,0,0,0,0,"81007-3621","81007","117 FAIRWAY VLG,PUEBLO WEST,CO,81007-3621",NA,NA
"9","020655254","12","031","150","120","1600 BROADWAY STE 2000",3,1716953,1690948,0,0,8031002403,"DENVER",10,0,0,0,"STEVE SPEARS",0,1,0,"01",0,297024,281797,"020655254_201812_990O",8031,2018,2017,16,"010",1661077,0,0,0,0,0,0,0,0,266166,0,0,NA,0,0,0,1173835,0,0,0,0,1,"18eoextract990.xlsx",0,84,29,39.7474,0,0,"PC","O","ED","B",25018,29871,-104.9874,"B",NA,0,0,NA,611699,"DUBLIN MANOR INC","020655254201812","0206552542018",1691935,0,-30858,0,0,-26032,0,0,"B","B28","B28","B",NA,"ntCO","ED","ED","ED",1,NA,0,0,0,0,"IN",NA,0,0,NA,266082,255736,"N",0.426386221604414,"09",0,0,0,0,0,0,0,0,0,201212,0,0,0,0,0,0,0,0,NA,20180,"19eoextract990.xlsx",0,0,0,"CO",20180,"3","3",166,201812,201712,0,266166,266166,255765,1174001,0,0,0,0,0,"80202-4929","80202","1600 BROADWAY STE 2000,DENVER,CO,80202-4929",NA,NA
"10","020673474","09","000","000","000","7770 E ILIFF AVE STE C",3,107116,124916,0,0,8005087300,"DENVER",10,140121,122915,131404,NA,43399,1,0,"01",0,656643,580730,"020673474_201809_990O",8031,2018,2017,16,"010",111493,0,0,0,0,0,0,0,0,674533,0,0,NA,0,0,0,0,0,0,0,0,1,"18eoextract990.xlsx",0,0,1,39.674744,0,0,"PC","O","HE","G",13513,13423,-104.896157,"G",NA,0,0,NA,813212,"DEVELOPMENTAL FX-THE DEVELOPMENTAL & FRAGILE X RESOURCE CENTRE","020673474201809","0206734742018",93603,0,17890,0,0,41861,0,0,"G","G20","G20","G","G80","BEST","HE","HE","HE",1,NA,0,71,252052,212104,"IN",NA,28624,28068,NA,543129,579120,"N",0.978195297578016,"03",0,0,0,0,0,0,0,0,0,200309,0,0,0,0,0,0,0,0,NA,20179,"19eoextract990.xlsx",0,0,0,"CO",20179,"3","3",0,201809,201709,0,674533,674533,622591,0,0,0,0,0,0,"80231-5326","80231","7770 E ILIFF AVE STE C,DENVER,CO,80231-5326",NA,NA
